FoodName,Rasa,Virya,Vipaka,VataEffect,PittaEffect,KaphaEffect,Calories,Protein,Carbs,Fats
Sweet Potato,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,164,4,36,11
Yogurt,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,323,12,27,3
Black Beans,Sweet,Cooling,Sour,Pacifies,Pacifies,Aggravates,245,11,39,12
Almonds,Sour,Heating,Pungent,Pacifies,Aggravates,Aggravates,369,7,26,11
Ginger,Astringent,Cooling,Sweet,Aggravates,Pacifies,Pacifies,245,2,11,2
Paneer,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,309,3,41,1
Rice,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,141,17,42,4
Kale,Salty,Cooling,Sweet,Pacifies,Aggravates,Aggravates,310,1,6,2
Ghee,Pungent,Cooling,Pungent,Aggravates,Aggravates,Pacifies,322,2,7,10
Lentils,Pungent,Heating,Sweet,Aggravates,Aggravates,Pacifies,216,18,23,15
Oats,Sweet,Cooling,Sour,Pacifies,Pacifies,Aggravates,75,2,33,3
Barley,Pungent,Heating,Sour,Aggravates,Aggravates,Pacifies,346,3,37,1
Chickpeas,Bitter,Heating,Sour,Aggravates,Aggravates,Pacifies,188,17,42,5
Coriander,Astringent,Cooling,Sweet,Aggravates,Pacifies,Pacifies,293,5,35,6
Mango,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,210,1,37,5
Pumpkin Seeds,Pungent,Heating,Sweet,Aggravates,Aggravates,Pacifies,316,8,21,3
Sweet Potato,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,168,15,28,2
Spinach,Salty,Cooling,Sweet,Pacifies,Aggravates,Aggravates,77,14,40,7
Sweet Potato,Sour,Cooling,Sweet,Pacifies,Aggravates,Aggravates,71,19,47,6
Quinoa,Bitter,Heating,Sweet,Aggravates,Aggravates,Pacifies,193,17,32,9
Spinach,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,305,19,26,3
Black Pepper,Pungent,Cooling,Sour,Aggravates,Aggravates,Pacifies,274,19,30,5
Grapes,Sweet,Heating,Sweet,Pacifies,Aggravates,Aggravates,235,8,39,5
Almonds,Sour,Heating,Sour,Pacifies,Aggravates,Aggravates,98,5,19,6
Yogurt,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,257,19,11,0
Butter,Salty,Cooling,Pungent,Pacifies,Aggravates,Aggravates,68,9,39,8
Walnuts,Astringent,Heating,Pungent,Aggravates,Aggravates,Pacifies,318,2,39,3
Grapes,Salty,Cooling,Sweet,Pacifies,Aggravates,Aggravates,322,14,8,15
Barley,Salty,Heating,Sour,Pacifies,Aggravates,Aggravates,157,2,32,7
Ginger,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,195,14,15,1
Lentils,Pungent,Cooling,Pungent,Aggravates,Aggravates,Pacifies,259,20,40,5
Ginger,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,314,16,12,13
Potato,Sweet,Cooling,Pungent,Pacifies,Pacifies,Aggravates,383,15,24,1
Ghee,Salty,Heating,Sweet,Pacifies,Aggravates,Aggravates,282,5,28,9
Grapes,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,384,13,39,5
Banana,Sour,Heating,Pungent,Pacifies,Aggravates,Aggravates,251,13,18,4
Oats,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,330,1,49,4
Almonds,Bitter,Heating,Pungent,Aggravates,Aggravates,Pacifies,165,19,36,11
Milk,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,116,7,44,2
Paneer,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,97,12,50,1
Yogurt,Sweet,Cooling,Sour,Pacifies,Pacifies,Aggravates,287,8,12,13
Ghee,Salty,Cooling,Sweet,Pacifies,Aggravates,Aggravates,270,3,35,11
Black Pepper,Pungent,Cooling,Pungent,Aggravates,Aggravates,Pacifies,296,11,26,0
Quinoa,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,309,9,11,7
Yogurt,Bitter,Cooling,Sour,Aggravates,Pacifies,Pacifies,196,13,10,6
Pomegranate,Pungent,Cooling,Pungent,Aggravates,Aggravates,Pacifies,247,9,25,12
Almonds,Sour,Cooling,Sweet,Pacifies,Aggravates,Aggravates,99,14,5,1
Grapes,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,161,3,12,13
Carrot,Bitter,Heating,Sour,Aggravates,Aggravates,Pacifies,84,9,43,7
Sweet Potato,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,306,12,23,1
Black Beans,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,239,17,31,7
Quinoa,Sweet,Heating,Sour,Pacifies,Aggravates,Aggravates,98,20,50,14
Black Pepper,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,338,9,44,13
Sweet Potato,Salty,Heating,Sweet,Pacifies,Aggravates,Aggravates,103,10,46,2
Chickpeas,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,134,2,28,11
Mung Dal,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,389,13,47,2
Mung Dal,Salty,Cooling,Pungent,Pacifies,Aggravates,Aggravates,372,9,31,2
Potato,Sour,Cooling,Sour,Pacifies,Aggravates,Aggravates,304,4,35,8
Apple,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,244,16,22,1
Wheat,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,70,17,24,10
Apple,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,329,13,38,15
Turmeric,Sour,Heating,Pungent,Pacifies,Aggravates,Aggravates,280,8,48,3
Kidney Beans,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,270,4,13,3
Coriander,Salty,Heating,Sweet,Pacifies,Aggravates,Aggravates,295,11,33,8
Cumin,Sour,Heating,Pungent,Pacifies,Aggravates,Aggravates,209,4,42,0
Sesame Seeds,Bitter,Heating,Sour,Aggravates,Aggravates,Pacifies,200,13,27,7
Sweet Potato,Pungent,Heating,Sour,Aggravates,Aggravates,Pacifies,192,7,10,4
Rice,Sweet,Cooling,Sour,Pacifies,Pacifies,Aggravates,75,19,5,11
Cumin,Bitter,Cooling,Sour,Aggravates,Pacifies,Pacifies,84,9,33,1
Apple,Sour,Heating,Sour,Pacifies,Aggravates,Aggravates,396,4,28,3
Barley,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,107,6,7,8
Paneer,Sweet,Heating,Sweet,Pacifies,Aggravates,Aggravates,152,7,33,2
Black Pepper,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,119,4,37,15
Quinoa,Bitter,Heating,Sweet,Aggravates,Aggravates,Pacifies,99,1,9,4
Milk,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,166,15,23,11
Wheat,Sweet,Cooling,Pungent,Pacifies,Pacifies,Aggravates,319,18,22,11
